height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
457632,1489739775,4.75705E+11,3.24,0x18024fb1,581,3.40445E+18,,3925474.045,1.600031691
459648,1490891948,4.99636E+11,5.03,0x1802335a,572,3.57496E+18,,3949088.849,1.600030179
461664,1492052390,5.20809E+11,4.24,0x18021c73,576,3.72804E+18,,3961100.134,1.60002894
463680,1493259601,5.21975E+11,0.22,0x18021b3e,599,3.73547E+18,,3347226.74,1.600028882
465696,1494387648,5.59971E+11,7.28,0x1801f6a7,560,4.00657E+18,,4565153.868,1.600026928
467712,1495524592,5.95922E+11,6.42,0x1801d854,564,4.26458E+18,,4325022.12,1.600025299
469728,1496586907,6.7876E+11,13.9,0x18019eaf,527,4.85721E+18,,4723788.732,1.600022212
471744,1497741533,7.11697E+11,4.85,0x18018b7e,573,5.09009E+18,,5554449.56,1.600021196
473760,1498956437,7.08659E+11,-0.43,0x18018d30,603,5.07229E+18,,6235294.606,1.60002127
475776,1500021942,8.04525E+11,13.53,0x18015ddc,529,5.75881E+18,,7118783.254,1.600018735
477792,1501153434,8.60222E+11,6.92,0x18014735,561,6.15657E+18,,6542565.619,1.600017524
479808,1502282210,9.23233E+11,7.32,0x180130e0,560,6.59862E+18,,5277828.948,1.60001635
481824,1503539857,8.88172E+11,-3.8,0x18013ce9,624,6.35628E+18,,7240807.042,1.600016974
483840,1504704195,9.22725E+11,3.89,0x1801310b,578,6.60493E+18,,7751843.021,1.600016335
485856,1505716276,1.1034E+12,19.58,0x1800ff18,502,7.89418E+18,,7569349.388,1.600013667
487872,1506904066,1.12386E+12,1.85,0x1800fa73,589,8.04348E+18,,8547734.68,1.600013413
489888,1508040302,1.19679E+12,6.49,0x1800eb30,564,8.56437E+18,,12999790.29,1.600012597
491904,1509036762,1.45284E+12,21.39,0x1800c1bd,494,1.03994E+19,,11266484.92,1.600010375
493920,1510326831,1.36442E+12,-6.09,0x1800ce4b,640,9.75114E+18,,11733861.59,1.600011064
495936,1511553196,1.347E+12,-1.28,0x1800d0f6,608,9.6334E+18,,11918845.17,1.600011199
497952,1512577401,1.5909E+12,18.11,0x1800b0ed,508,1.13876E+19,,14630524.31,1.600009474
499968,1513605320,1.87311E+12,17.74,0x18009645,510,1.34009E+19,,15177350.25,1.600008051
501984,1514778970,1.93114E+12,3.1,0x180091c1,582,1.38189E+19,,17165770.55,1.600007807
504000,1515827554,2.22785E+12,15.36,0x177e578c,520,1.59463E+19,,20056949.54,1.600006766
506016,1516862900,2.60308E+12,16.84,0x176c2146,514,1.86316E+19,,19291612.22,1.600005791
508032,1517958487,2.87467E+12,10.43,0x1761e9f8,543,2.05727E+19,,22125683.71,1.600005244
510048,1519114859,3.00738E+12,4.62,0x175d97dc,574,2.15249E+19,,25681575.02,1.600005012
512064,1520223678,3.29061E+12,9.42,0x175589a3,550,2.34844E+19,,26162835.21,1.600004594
514080,1521373218,3.46254E+12,5.23,0x17514a49,570,2.47858E+19,,25656757.72,1.600004353
516096,1522566357,3.51106E+12,1.4,0x17502ab7,592,2.51278E+19,,26910340.43,1.600004294
518112,1523672932,3.83932E+12,9.35,0x1749500d,549,2.74731E+19,,30990335.3,1.600003927
520128,1524828253,4.02206E+12,4.76,0x1745fb53,573,2.87741E+19,,27191117.75,1.60000375
522144,1526003655,4.14388E+12,3.03,0x1743eca9,583,2.96287E+19,,34684139.19,1.600003641
524160,1527168053,4.30695E+12,3.94,0x17415a49,578,3.08146E+19,,35121339.4,1.600003501
526176,1528222686,4.9407E+12,14.71,0x1738f841,523,3.53605E+19,,40384615.37,1.600003051
528192,1529400045,5.0775E+12,2.77,0x17376f56,584,3.63354E+19,,36528296.65,1.600002969
530208,1530545661,5.36368E+12,5.64,0x17347a28,568,3.83761E+19,,44021066.11,1.600002811
532224,1531799449,5.17867E+12,-3.45,0x17365a17,622,3.70415E+19,,43474975.98,1.600002913
534240,1532852371,5.94944E+12,14.88,0x172f4f7b,522,4.25866E+19,,43195594.44,1.600002533
536256,1533980459,6.38932E+12,7.39,0x172c0da7,560,4.5665E+19,,51165065.37,1.600002363
538272,1535129431,6.72723E+12,5.29,0x1729d72d,570,4.81499E+19,,56874984.68,1.600002241
540288,1536290079,7.0192E+12,4.34,0x172819a1,576,5.01864E+19,,53333899.87,1.60000215
542304,1537478139,7.15263E+12,1.9,0x17275a1f,589,5.11564E+19,,52623567.23,1.600002109
,,,,,,,,50702736.58,
